sequence_path,sequence_idx,split,segment_idx,label,snippet_path,start_frame,end_frame,duration_frames,start_s,end_s,duration_s,truncated
data\results\sequences\train\sequence_0.npy,0,train,17,Nothing,data\results\fragments_combined\Nothing\AMAR184.20241118T124249Z_idx11376.npy,2993,3473,480,299.3,347.3,48.0,False
data\results\sequences\train\sequence_0.npy,0,train,18,G01,data\results\fragments_combined\G01\AMAR170.20240818T004714Z_idx6219.npy,3473,3480,7,347.3,348.0,0.7,False
data\results\sequences\train\sequence_0.npy,0,train,19,G01,data\results\fragments_combined\G01\AMAR170.20240419T205445Z_idx4208.npy,3480,3574,94,348.0,357.4,9.4,False
data\results\sequences\train\sequence_0.npy,0,train,20,G01,data\results\fragments_combined\G01\AMAR170.20241003T043714Z_idx7759.npy,3574,3591,17,357.4,359.1,1.7,False
data\results\sequences\train\sequence_0.npy,0,train,21,G01,data\results\fragments_combined\G01\AMAR170.20241018T224714Z_idx8410.npy,3591,3725,134,359.1,372.5,13.4,False
data\results\sequences\train\sequence_0.npy,0,train,22,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240419T230445Z_idx10467.npy,3725,4099,374,372.5,409.9,37.4,False
data\results\sequences\train\sequence_0.npy,0,train,23,G01,data\results\fragments_combined\G01\AMAR170.20240419T154445Z_idx3875.npy,4099,4126,27,409.9,412.6,2.7,False
data\results\sequences\train\sequence_0.npy,0,train,24,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250303T081257Z_idx9829.npy,4126,4369,243,412.6,436.9,24.3,False
data\results\sequences\train\sequence_0.npy,0,train,25,G01,data\results\fragments_combined\G01\AMAR170.20240818T113714Z_idx6421.npy,4369,4577,208,436.9,457.7,20.8,False
data\results\sequences\train\sequence_0.npy,0,train,26,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20241203T084723Z_idx9511.npy,4577,5010,433,457.7,501.0,43.3,False
data\results\sequences\train\sequence_0.npy,0,train,27,G01,data\results\fragments_combined\G01\AMAR184.20240419T101420Z_idx8511.npy,5010,5035,25,501.0,503.5,2.5,False
data\results\sequences\train\sequence_0.npy,0,train,28,G01,data\results\fragments_combined\G01\AMAR170.20240803T192714Z_idx5862.npy,5035,5077,42,503.5,507.7,4.2,False
data\results\sequences\train\sequence_0.npy,0,train,29,Nothing,data\results\fragments_combined\Nothing\AMAR021.20240503T124250Z_idx9396.npy,5077,5579,502,507.7,557.9,50.2,False
data\results\sequences\train\sequence_0.npy,0,train,30,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240803T002714Z_idx10659.npy,5579,5872,293,557.9,587.2,29.3,False
data\results\sequences\train\sequence_0.npy,0,train,31,Nothing,data\results\fragments_combined\Nothing\AMAR184.20241018T015732Z_idx11284.npy,5872,6121,249,587.2,612.1,24.9,False
data\results\sequences\train\sequence_0.npy,0,train,32,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250103T045723Z_idx9567.npy,6121,6610,489,612.1,661.0,48.9,False
data\results\sequences\train\sequence_0.npy,0,train,33,Nothing,data\results\fragments_combined\Nothing\AMAR1272.20250118T185450Z_idx10054.npy,6610,7241,631,661.0,724.1,63.1,False
data\results\sequences\train\sequence_0.npy,0,train,34,G01,data\results\fragments_combined\G01\AMAR1270.20241107T035723Z_idx71.npy,7241,7282,41,724.1,728.2,4.1,False
data\results\sequences\train\sequence_0.npy,0,train,35,Nothing,data\results\fragments_combined\Nothing\AMAR1271.20250318T111003Z_idx9980.npy,7282,7773,491,728.2,777.3,49.1,False
data\results\sequences\train\sequence_0.npy,0,train,36,Nothing,data\results\fragments_combined\Nothing\AMAR184.20240903T065732Z_idx11257.npy,7773,8438,665,777.3,843.8,66.5,False
data\results\sequences\train\sequence_0.npy,0,train,37,Nothing,data\results\fragments_combined\Nothing\AMAR184.20241103T161732Z_idx11333.npy,8438,8586,148,843.8,858.6,14.8,False
data\results\sequences\train\sequence_0.npy,0,train,38,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250303T010257Z_idx9795.npy,8586,8833,247,858.6,883.3,24.7,False
data\results\sequences\train\sequence_0.npy,0,train,39,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240803T033714Z_idx10674.npy,8833,8932,99,883.3,893.2,9.9,False
data\results\sequences\train\sequence_0.npy,0,train,40,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240818T004714Z_idx10771.npy,8932,9233,301,893.2,923.3,30.1,False
data\results\sequences\train\sequence_0.npy,0,train,41,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20250103T124454Z_idx10238.npy,9233,9606,373,923.3,960.6,37.3,False
data\results\sequences\train\sequence_0.npy,0,train,42,G01,data\results\fragments_combined\G01\AMAR170.20240419T215445Z_idx4304.npy,9606,9616,10,960.6,961.6,1.0,False
data\results\sequences\train\sequence_0.npy,0,train,43,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250118T005723Z_idx9596.npy,9616,9793,177,961.6,979.3,17.7,False
data\results\sequences\train\sequence_0.npy,0,train,44,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20241118T064723Z_idx9468.npy,9793,10056,263,979.3,1005.6,26.3,False
data\results\sequences\train\sequence_0.npy,0,train,45,G01,data\results\fragments_combined\G01\AMAR170.20240419T130445Z_idx3741.npy,10056,10083,27,1005.6,1008.3,2.7,False
data\results\sequences\train\sequence_0.npy,0,train,46,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20250318T091754Z_idx10350.npy,10083,10615,532,1008.3,1061.5,53.2,False
data\results\sequences\train\sequence_0.npy,0,train,47,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240803T053714Z_idx10684.npy,10615,10851,236,1061.5,1085.1,23.6,False
data\results\sequences\train\sequence_0.npy,0,train,48,Nothing,data\results\fragments_combined\Nothing\AMAR1272.20250118T051450Z_idx10036.npy,10851,11252,401,1085.1,1125.2,40.1,False
data\results\sequences\train\sequence_0.npy,0,train,49,G01,data\results\fragments_combined\G01\AMAR170.20241003T132714Z_idx7851.npy,11252,11264,12,1125.2,1126.4,1.2,False
data\results\sequences\train\sequence_0.npy,0,train,50,G01,data\results\fragments_combined\G01\AMAR1270.20250303T210257Z_idx1564.npy,11264,11421,157,1126.4,1142.1,15.7,False
data\results\sequences\train\sequence_0.npy,0,train,51,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20241107T175723Z_idx9431.npy,11421,11467,46,1142.1,1146.7,4.6,False
data\results\sequences\train\sequence_0.npy,0,train,52,G01,data\results\fragments_combined\G01\AMAR170.20240803T183714Z_idx5805.npy,11467,11499,32,1146.7,1149.9,3.2,False
data\results\sequences\train\sequence_0.npy,0,train,53,G01,data\results\fragments_combined\G01\AMAR170.20240803T093714Z_idx5236.npy,11499,11602,103,1149.9,1160.2,10.3,False
data\results\sequences\train\sequence_0.npy,0,train,54,Nothing,data\results\fragments_combined\Nothing\AMAR170.20241018T153714Z_idx11105.npy,11602,11642,40,1160.2,1164.2,4.0,False
data\results\sequences\train\sequence_0.npy,0,train,55,Nothing,data\results\fragments_combined\Nothing\AMAR021.20240503T134250Z_idx9397.npy,11642,11868,226,1164.2,1186.8,22.6,False
data\results\sequences\train\sequence_0.npy,0,train,56,Nothing,data\results\fragments_combined\Nothing\AMAR887.20240903T091437Z_idx11499.npy,11868,12237,369,1186.8,1223.7,36.9,False
data\results\sequences\train\sequence_0.npy,0,train,57,Nothing,data\results\fragments_combined\Nothing\AMAR184.20241203T074249Z_idx11392.npy,12237,12261,24,1223.7,1226.1,2.4,False
data\results\sequences\train\sequence_0.npy,0,train,58,G01,data\results\fragments_combined\G01\AMAR170.20240803T102714Z_idx5306.npy,12261,12408,147,1226.1,1240.8,14.7,False
data\results\sequences\train\sequence_0.npy,0,train,59,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250118T085723Z_idx9643.npy,12408,12859,451,1240.8,1285.9,45.1,False
data\results\sequences\train\sequence_0.npy,0,train,60,G01,data\results\fragments_combined\G01\AMAR887.20240903T072437Z_idx9123.npy,12859,12930,71,1285.9,1293.0,7.1,False
data\results\sequences\train\sequence_0.npy,0,train,61,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240703T135445Z_idx10570.npy,12930,13597,667,1293.0,1359.7,66.7,False
data\results\sequences\train\sequence_0.npy,0,train,62,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20250103T115454Z_idx10233.npy,13597,14172,575,1359.7,1417.2,57.5,False
data\results\sequences\train\sequence_0.npy,0,train,63,G01,data\results\fragments_combined\G01\AMAR170.20240419T155445Z_idx3945.npy,14172,14178,6,1417.2,1417.8,0.6,False
data\results\sequences\train\sequence_0.npy,0,train,64,Nothing,data\results\fragments_combined\Nothing\AMAR021.20240503T114250Z_idx9393.npy,14178,14702,524,1417.8,1470.2,52.4,False
data\results\sequences\train\sequence_0.npy,0,train,65,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240419T054445Z_idx10414.npy,14702,15245,543,1470.2,1524.5,54.3,False
data\results\sequences\train\sequence_0.npy,0,train,66,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20250403T230754Z_idx10381.npy,15245,15411,166,1524.5,1541.1,16.6,False
data\results\sequences\train\sequence_0.npy,0,train,67,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250103T025723Z_idx9558.npy,15411,15911,500,1541.1,1591.1,50.0,False
data\results\sequences\train\sequence_0.npy,0,train,68,G01,data\results\fragments_combined\G01\AMAR170.20240718T033714Z_idx4933.npy,15911,15916,5,1591.1,1591.6,0.5,False
data\results\sequences\train\sequence_0.npy,0,train,69,G01,data\results\fragments_combined\G01\AMAR170.20240803T174714Z_idx5765.npy,15916,15927,11,1591.6,1592.7,1.1,False
data\results\sequences\train\sequence_0.npy,0,train,70,Nothing,data\results\fragments_combined\Nothing\AMAR170.20241018T142714Z_idx11098.npy,15927,16398,471,1592.7,1639.8,47.1,False
data\results\sequences\train\sequence_0.npy,0,train,71,G01,data\results\fragments_combined\G01\AMAR1273.20241218T045454Z_idx2186.npy,16398,16420,22,1639.8,1642.0,2.2,False
data\results\sequences\train\sequence_0.npy,0,train,72,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240903T102714Z_idx10847.npy,16420,16822,402,1642.0,1682.2,40.2,False
data\results\sequences\train\sequence_0.npy,0,train,73,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240903T192714Z_idx10890.npy,16822,17415,593,1682.2,1741.5,59.3,False
data\results\sequences\train\sequence_0.npy,0,train,74,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250203T082257Z_idx9717.npy,17415,17688,273,1741.5,1768.8,27.3,False
data\results\sequences\train\sequence_0.npy,0,train,75,G01,data\results\fragments_combined\G01\AMAR1270.20250118T060723Z_idx809.npy,17688,17711,23,1768.8,1771.1,2.3,False
data\results\sequences\train\sequence_0.npy,0,train,76,G01,data\results\fragments_combined\G01\AMAR170.20240918T104714Z_idx7032.npy,17711,18137,426,1771.1,1813.7,42.6,False
data\results\sequences\train\sequence_0.npy,0,train,77,Nothing,data\results\fragments_combined\Nothing\AMAR184.20240419T071420Z_idx11148.npy,18137,18160,23,1813.7,1816.0,2.3,False
data\results\sequences\train\sequence_0.npy,0,train,78,G01,data\results\fragments_combined\G01\AMAR887.20240901T232437Z_idx8900.npy,18160,18173,13,1816.0,1817.3,1.3,False
data\results\sequences\train\sequence_0.npy,0,train,79,G01,data\results\fragments_combined\G01\AMAR170.20240918T032714Z_idx6912.npy,18173,18184,11,1817.3,1818.4,1.1,False
data\results\sequences\train\sequence_0.npy,0,train,80,Nothing,data\results\fragments_combined\Nothing\AMAR887.20240903T073437Z_idx11496.npy,18184,18375,191,1818.4,1837.5,19.1,False
data\results\sequences\train\sequence_0.npy,0,train,81,G01,data\results\fragments_combined\G01\AMAR170.20240803T093714Z_idx5240.npy,18375,18391,16,1837.5,1839.1,1.6,False
data\results\sequences\train\sequence_0.npy,0,train,82,G01,data\results\fragments_combined\G01\AMAR887.20240903T002437Z_idx8923.npy,18391,18407,16,1839.1,1840.7,1.6,False
data\results\sequences\train\sequence_0.npy,0,train,83,G01,data\results\fragments_combined\G01\AMAR170.20240803T084714Z_idx5200.npy,18407,18416,9,1840.7,1841.6,0.9,False
data\results\sequences\train\sequence_0.npy,0,train,84,G01,data\results\fragments_combined\G01\AMAR1270.20250303T072257Z_idx1454.npy,18416,18450,34,1841.6,1845.0,3.4,False
data\results\sequences\train\sequence_0.npy,0,train,85,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240703T190445Z_idx10597.npy,18450,19107,657,1845.0,1910.7,65.7,False
data\results\sequences\train\sequence_0.npy,0,train,86,G01,data\results\fragments_combined\G01\AMAR170.20240918T233714Z_idx7158.npy,19107,19197,90,1910.7,1919.7,9.0,False
data\results\sequences\train\sequence_0.npy,0,train,87,G01,data\results\fragments_combined\G01\AMAR1270.20250303T212257Z_idx1636.npy,19197,19211,14,1919.7,1921.1,1.4,False
data\results\sequences\train\sequence_0.npy,0,train,88,G01,data\results\fragments_combined\G01\AMAR184.20241203T233249Z_idx8848.npy,19211,19400,189,1921.1,1940.0,18.9,False
data\results\sequences\train\sequence_0.npy,0,train,89,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250303T061257Z_idx9819.npy,19400,20033,633,1940.0,2003.3,63.3,False
data\results\sequences\train\sequence_0.npy,0,train,90,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250218T090257Z_idx9769.npy,20033,20558,525,2003.3,2055.8,52.5,False
data\results\sequences\train\sequence_0.npy,0,train,91,G01,data\results\fragments_combined\G01\AMAR170.20240419T220445Z_idx4317.npy,20558,20569,11,2055.8,2056.9,1.1,False
data\results\sequences\train\sequence_0.npy,0,train,92,G01,data\results\fragments_combined\G01\AMAR1273.20250103T195454Z_idx2715.npy,20569,20668,99,2056.9,2066.8,9.9,False
data\results\sequences\train\sequence_0.npy,0,train,93,G01,data\results\fragments_combined\G01\AMAR170.20240419T155445Z_idx3957.npy,20668,20698,30,2066.8,2069.8,3.0,False
data\results\sequences\train\sequence_0.npy,0,train,94,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20250218T020754Z_idx10303.npy,20698,20983,285,2069.8,2098.3,28.5,False
data\results\sequences\train\sequence_0.npy,0,train,95,G01,data\results\fragments_combined\G01\AMAR184.20240903T075732Z_idx8688.npy,20983,21045,62,2098.3,2104.5,6.2,False
data\results\sequences\train\sequence_0.npy,0,train,96,Nothing,data\results\fragments_combined\Nothing\AMAR170.20241003T144714Z_idx11022.npy,21045,21384,339,2104.5,2138.4,33.9,False
data\results\sequences\train\sequence_0.npy,0,train,97,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20241218T015454Z_idx10149.npy,21384,21922,538,2138.4,2192.2,53.8,False
data\results\sequences\train\sequence_0.npy,0,train,98,G01,data\results\fragments_combined\G01\AMAR170.20240419T155445Z_idx4004.npy,21922,21938,16,2192.2,2193.8,1.6,False
data\results\sequences\train\sequence_0.npy,0,train,99,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240703T090445Z_idx10558.npy,21938,22046,108,2193.8,2204.6,10.8,False
data\results\sequences\train\sequence_0.npy,0,train,100,Nothing,data\results\fragments_combined\Nothing\AMAR184.20241118T012249Z_idx11364.npy,22046,22691,645,2204.6,2269.1,64.5,False
data\results\sequences\train\sequence_0.npy,0,train,101,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20241203T055723Z_idx9500.npy,22691,23229,538,2269.1,2322.9,53.8,False
data\results\sequences\train\sequence_0.npy,0,train,102,G01,data\results\fragments_combined\G01\AMAR170.20240419T220445Z_idx4312.npy,23229,23254,25,2322.9,2325.4,2.5,False
data\results\sequences\train\sequence_0.npy,0,train,103,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20241203T020723Z_idx9480.npy,23254,23398,144,2325.4,2339.8,14.4,False
data\results\sequences\train\sequence_0.npy,0,train,104,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20241118T050723Z_idx9467.npy,23398,24026,628,2339.8,2402.6,62.8,False
data\results\sequences\train\sequence_0.npy,0,train,105,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250303T112257Z_idx9841.npy,24026,24189,163,2402.6,2418.9,16.3,False
data\results\sequences\train\sequence_0.npy,0,train,106,G01,data\results\fragments_combined\G01\AMAR887.20240903T093437Z_idx9163.npy,24189,24203,14,2418.9,2420.3,1.4,False
data\results\sequences\train\sequence_0.npy,0,train,107,G01,data\results\fragments_combined\G01\AMAR1270.20250303T011257Z_idx1297.npy,24203,24223,20,2420.3,2422.3,2.0,False
data\results\sequences\train\sequence_0.npy,0,train,108,Nothing,data\results\fragments_combined\Nothing\AMAR184.20240903T051732Z_idx11248.npy,24223,24342,119,2422.3,2434.2,11.9,False
data\results\sequences\train\sequence_0.npy,0,train,109,Nothing,data\results\fragments_combined\Nothing\AMAR170.20241018T003714Z_idx11040.npy,24342,24838,496,2434.2,2483.8,49.6,False
data\results\sequences\train\sequence_0.npy,0,train,110,G01,data\results\fragments_combined\G01\AMAR170.20240918T233714Z_idx7147.npy,24838,24851,13,2483.8,2485.1,1.3,False
data\results\sequences\train\sequence_0.npy,0,train,111,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240703T150445Z_idx10578.npy,24851,25461,610,2485.1,2546.1,61.0,False
data\results\sequences\train\sequence_0.npy,0,train,112,Nothing,data\results\fragments_combined\Nothing\AMAR184.20241203T233249Z_idx11420.npy,25461,25876,415,2546.1,2587.6,41.5,False
data\results\sequences\train\sequence_0.npy,0,train,113,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250218T032257Z_idx9754.npy,25876,25913,37,2587.6,2591.3,3.7,False
data\results\sequences\train\sequence_0.npy,0,train,114,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240903T104714Z_idx10851.npy,25913,26550,637,2591.3,2655.0,63.7,False
data\results\sequences\train\sequence_0.npy,0,train,115,Nothing,data\results\fragments_combined\Nothing\AMAR184.20241103T135732Z_idx11321.npy,26550,26588,38,2655.0,2658.8,3.8,False
data\results\sequences\train\sequence_0.npy,0,train,116,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20241118T163454Z_idx10125.npy,26588,27139,551,2658.8,2713.9,55.1,False
data\results\sequences\train\sequence_0.npy,0,train,117,Nothing,data\results\fragments_combined\Nothing\AMAR184.20241003T235732Z_idx11280.npy,27139,27801,662,2713.9,2780.1,66.2,False
data\results\sequences\train\sequence_0.npy,0,train,118,G01,data\results\fragments_combined\G01\AMAR170.20240818T003714Z_idx6190.npy,27801,27808,7,2780.1,2780.8,0.7,False
data\results\sequences\train\sequence_0.npy,0,train,119,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250303T140257Z_idx9844.npy,27808,28115,307,2780.8,2811.5,30.7,False
data\results\sequences\train\sequence_0.npy,0,train,120,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240419T110445Z_idx10435.npy,28115,28170,55,2811.5,2817.0,5.5,False
data\results\sequences\train\sequence_0.npy,0,train,121,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20250103T043454Z_idx10197.npy,28170,28247,77,2817.0,2824.7,7.7,False
data\results\sequences\train\sequence_0.npy,0,train,122,Nothing,data\results\fragments_combined\Nothing\AMAR170.20241018T014714Z_idx11048.npy,28247,28825,578,2824.7,2882.5,57.8,False
data\results\sequences\train\sequence_0.npy,0,train,123,Nothing,data\results\fragments_combined\Nothing\AMAR1273.20250218T040754Z_idx10309.npy,28825,29092,267,2882.5,2909.2,26.7,False
data\results\sequences\train\sequence_0.npy,0,train,124,Nothing,data\results\fragments_combined\Nothing\AMAR1271.20250318T032003Z_idx9956.npy,29092,29534,442,2909.2,2953.4,44.2,False
data\results\sequences\train\sequence_0.npy,0,train,125,G01,data\results\fragments_combined\G01\AMAR1270.20241107T040723Z_idx92.npy,29534,29633,99,2953.4,2963.3,9.9,False
data\results\sequences\train\sequence_0.npy,0,train,126,G01,data\results\fragments_combined\G01\AMAR170.20240419T124445Z_idx3616.npy,29633,29647,14,2963.3,2964.7,1.4,False
data\results\sequences\train\sequence_0.npy,0,train,127,Nothing,data\results\fragments_combined\Nothing\AMAR184.20240419T221420Z_idx11153.npy,29647,30197,550,2964.7,3019.7,55.0,False
data\results\sequences\train\sequence_0.npy,0,train,128,G01,data\results\fragments_combined\G01\AMAR170.20240419T204445Z_idx4093.npy,30197,30217,20,3019.7,3021.7,2.0,False
data\results\sequences\train\sequence_0.npy,0,train,129,Nothing,data\results\fragments_combined\Nothing\AMAR887.20240901T043437Z_idx11438.npy,30217,30300,83,3021.7,3030.0,8.3,False
data\results\sequences\train\sequence_0.npy,0,train,130,G01,data\results\fragments_combined\G01\AMAR170.20240419T145445Z_idx3783.npy,30300,30308,8,3030.0,3030.8,0.8,False
data\results\sequences\train\sequence_0.npy,0,train,131,G01,data\results\fragments_combined\G01\AMAR170.20240419T010445Z_idx2974.npy,30308,30380,72,3030.8,3038.0,7.2,False
data\results\sequences\train\sequence_0.npy,0,train,132,Nothing,data\results\fragments_combined\Nothing\AMAR1271.20250218T060003Z_idx9908.npy,30380,30523,143,3038.0,3052.3,14.3,False
data\results\sequences\train\sequence_0.npy,0,train,133,Nothing,data\results\fragments_combined\Nothing\AMAR1271.20250318T012003Z_idx9945.npy,30523,31147,624,3052.3,3114.7,62.4,False
data\results\sequences\train\sequence_0.npy,0,train,134,G01,data\results\fragments_combined\G01\AMAR1273.20241218T065454Z_idx2431.npy,31147,31160,13,3114.7,3116.0,1.3,False
data\results\sequences\train\sequence_0.npy,0,train,135,G01,data\results\fragments_combined\G01\AMAR887.20240903T022437Z_idx9005.npy,31160,31180,20,3116.0,3118.0,2.0,False
data\results\sequences\train\sequence_0.npy,0,train,136,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250303T050257Z_idx9811.npy,31180,31201,21,3118.0,3120.1,2.1,False
data\results\sequences\train\sequence_0.npy,0,train,137,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250403T130257Z_idx9894.npy,31201,31859,658,3120.1,3185.9,65.8,False
data\results\sequences\train\sequence_0.npy,0,train,138,G01,data\results\fragments_combined\G01\AMAR887.20240903T011437Z_idx8957.npy,31859,31954,95,3185.9,3195.4,9.5,False
data\results\sequences\train\sequence_0.npy,0,train,139,G01,data\results\fragments_combined\G01\AMAR170.20240718T002714Z_idx4793.npy,31954,31965,11,3195.4,3196.5,1.1,False
data\results\sequences\train\sequence_0.npy,0,train,140,G01,data\results\fragments_combined\G01\AMAR1273.20241218T045454Z_idx2178.npy,31965,32101,136,3196.5,3210.1,13.6,False
data\results\sequences\train\sequence_0.npy,0,train,141,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240803T232714Z_idx10761.npy,32101,32500,399,3210.1,3250.0,39.9,False
data\results\sequences\train\sequence_0.npy,0,train,142,G01,data\results\fragments_combined\G01\AMAR1271.20250318T031003Z_idx1808.npy,32500,32508,8,3250.0,3250.8,0.8,False
data\results\sequences\train\sequence_0.npy,0,train,143,G01,data\results\fragments_combined\G01\AMAR170.20240419T235445Z_idx4425.npy,32508,32520,12,3250.8,3252.0,1.2,False
data\results\sequences\train\sequence_0.npy,0,train,144,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250103T044723Z_idx9565.npy,32520,32582,62,3252.0,3258.2,6.2,False
data\results\sequences\train\sequence_0.npy,0,train,145,G01,data\results\fragments_combined\G01\AMAR1270.20250118T034723Z_idx756.npy,32582,32633,51,3258.2,3263.3,5.1,False
data\results\sequences\train\sequence_0.npy,0,train,146,G01,data\results\fragments_combined\G01\AMAR170.20240918T082714Z_idx6965.npy,32633,32668,35,3263.3,3266.8,3.5,False
data\results\sequences\train\sequence_0.npy,0,train,147,G01,data\results\fragments_combined\G01\AMAR170.20240419T150445Z_idx3829.npy,32668,32696,28,3266.8,3269.6,2.8,False
data\results\sequences\train\sequence_0.npy,0,train,148,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240803T023714Z_idx10668.npy,32696,32943,247,3269.6,3294.3,24.7,False
data\results\sequences\train\sequence_0.npy,0,train,149,G01,data\results\fragments_combined\G01\AMAR170.20241003T003714Z_idx7351.npy,32943,32953,10,3294.3,3295.3,1.0,False
data\results\sequences\train\sequence_0.npy,0,train,150,Nothing,data\results\fragments_combined\Nothing\AMAR887.20241003T083437Z_idx11528.npy,32953,33330,377,3295.3,3333.0,37.7,False
data\results\sequences\train\sequence_0.npy,0,train,151,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240503T080445Z_idx10486.npy,33330,33745,415,3333.0,3374.5,41.5,False
