sequence_path,sequence_idx,split,segment_idx,label,snippet_path,start_frame,end_frame,duration_frames,start_s,end_s,duration_s,truncated
data\results\sequences_low_freq\train\sequence_0.npy,0,train,83,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0763_idx178.npy,6955,6990,35,695.5,699.0,3.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,84,G01,data\results\fragments_combined\fragments_32khz\G01\279C0440_idx45.npy,6990,7052,62,699.0,705.2,6.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,85,G01,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx38.npy,7052,7121,69,705.2,712.1,6.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,86,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2233_idx222.npy,7121,7136,15,712.1,713.6,1.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,87,G01,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx119.npy,7136,7163,27,713.6,716.3,2.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,88,G01,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx117.npy,7163,7292,129,716.3,729.2,12.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,89,G01,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx123.npy,7292,7636,344,729.2,763.6,34.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,90,G01,data\results\fragments_combined\fragments_32khz\G01\279C0450_idx68.npy,7636,7640,4,763.6,764.0,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,91,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0091_idx146.npy,7640,7772,132,764.0,777.2,13.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,92,G01,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx125.npy,7772,7928,156,777.2,792.8,15.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,93,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0105_idx170.npy,7928,7942,14,792.8,794.2,1.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,94,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2979_idx244.npy,7942,8017,75,794.2,801.7,7.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,95,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2231_idx213.npy,8017,8480,463,801.7,848.0,46.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,96,G01,data\results\fragments_combined\fragments_32khz\G01\279C1864_idx79.npy,8480,8783,303,848.0,878.3,30.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,97,G01,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx134.npy,8783,8791,8,878.3,879.1,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,98,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1149_idx187.npy,8791,8803,12,879.1,880.3,1.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,99,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2971_idx236.npy,8803,8829,26,880.3,882.9,2.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,100,G01,data\results\fragments_combined\fragments_32khz\G01\279C2223_idx93.npy,8829,8874,45,882.9,887.4,4.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,101,G01,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx108.npy,8874,8894,20,887.4,889.4,2.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,102,G01,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx56.npy,8894,8916,22,889.4,891.6,2.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,103,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0105_idx174.npy,8916,8939,23,891.6,893.9,2.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,104,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2229_idx204.npy,8939,8947,8,893.9,894.7,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,105,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1161_idx196.npy,8947,8959,12,894.7,895.9,1.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,106,G01,data\results\fragments_combined\fragments_32khz\G01\279C2223_idx94.npy,8959,9011,52,895.9,901.1,5.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,107,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2979_idx247.npy,9011,9034,23,901.1,903.4,2.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,108,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0096_idx158.npy,9034,9045,11,903.4,904.5,1.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,109,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0096_idx162.npy,9045,9059,14,904.5,905.9,1.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,110,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0091_idx151.npy,9059,9177,118,905.9,917.7,11.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,111,G01,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx85.npy,9177,9186,9,917.7,918.6,0.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,112,G01,data\results\fragments_combined\fragments_32khz\G01\26D01286_idx7.npy,9186,9199,13,918.6,919.9,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,113,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2606_idx225.npy,9199,9210,11,919.9,921.0,1.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,114,G01,data\results\fragments_combined\fragments_32khz\G01\26D00033_idx4.npy,9210,9243,33,921.0,924.3,3.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,115,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2971_idx234.npy,9243,9637,394,924.3,963.7,39.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,116,G01,data\results\fragments_combined\fragments_32khz\G01\279C1867_idx81.npy,9637,9881,244,963.7,988.1,24.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,117,G01,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx62.npy,9881,9898,17,988.1,989.8,1.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,118,G01,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx118.npy,9898,9944,46,989.8,994.4,4.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,119,G01,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx115.npy,9944,10201,257,994.4,1020.1,25.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,120,G01,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx59.npy,10201,10207,6,1020.1,1020.7,0.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,121,G01,data\results\fragments_combined\fragments_32khz\G01\279C1863_idx78.npy,10207,10220,13,1020.7,1022.0,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,122,G01,data\results\fragments_combined\fragments_32khz\G01\26D01636_idx9.npy,10220,10224,4,1022.0,1022.4,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,123,G01,data\results\fragments_combined\fragments_32khz\G01\279C0768_idx73.npy,10224,10485,261,1022.4,1048.5,26.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,124,G01,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx104.npy,10485,10518,33,1048.5,1051.8,3.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,125,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1149_idx188.npy,10518,10522,4,1051.8,1052.2,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,126,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0092_idx156.npy,10522,10574,52,1052.2,1057.4,5.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,127,G01,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx131.npy,10574,10603,29,1057.4,1060.3,2.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,128,G01,data\results\fragments_combined\fragments_32khz\G01\279C2241_idx121.npy,10603,10624,21,1060.3,1062.4,2.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,129,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2611_idx227.npy,10624,10631,7,1062.4,1063.1,0.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,130,G01,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx128.npy,10631,10743,112,1063.1,1074.3,11.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,131,G01,data\results\fragments_combined\fragments_32khz\G01\26D01636_idx10.npy,10743,10747,4,1074.3,1074.7,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,132,G01,data\results\fragments_combined\fragments_32khz\G01\26D01646_idx21.npy,10747,10755,8,1074.7,1075.5,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,133,G01,data\results\fragments_combined\fragments_32khz\G01\279C1878_idx91.npy,10755,10773,18,1075.5,1077.3,1.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,134,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2967_idx231.npy,10773,10791,18,1077.3,1079.1,1.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,135,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1149_idx186.npy,10791,10801,10,1079.1,1080.1,1.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,136,G01,data\results\fragments_combined\fragments_32khz\G01\279C0115_idx27.npy,10801,11141,340,1080.1,1114.1,34.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,137,G01,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx107.npy,11141,11163,22,1114.1,1116.3,2.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,138,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2232_idx221.npy,11163,11466,303,1116.3,1146.6,30.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,139,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1149_idx189.npy,11466,11471,5,1146.6,1147.1,0.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,140,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2231_idx212.npy,11471,11494,23,1147.1,1149.4,2.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,141,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2968_idx232.npy,11494,11508,14,1149.4,1150.8,1.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,142,G01,data\results\fragments_combined\fragments_32khz\G01\279C2224_idx95.npy,11508,11522,14,1150.8,1152.2,1.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,143,G01,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx86.npy,11522,11532,10,1152.2,1153.2,1.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,144,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0092_idx153.npy,11532,11742,210,1153.2,1174.2,21.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,145,G01,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx82.npy,11742,11761,19,1174.2,1176.1,1.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,146,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2979_idx246.npy,11761,11796,35,1176.1,1179.6,3.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,147,G01,data\results\fragments_combined\fragments_32khz\G01\279C1871_idx90.npy,11796,11878,82,1179.6,1187.8,8.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,148,G01,data\results\fragments_combined\fragments_32khz\G01\279C1867_idx80.npy,11878,11999,121,1187.8,1199.9,12.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,149,G01,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx127.npy,11999,12012,13,1199.9,1201.2,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,150,G01,data\results\fragments_combined\fragments_32khz\G01\279C0265_idx33.npy,12012,12036,24,1201.2,1203.6,2.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,151,G01,data\results\fragments_combined\fragments_32khz\G01\279C1871_idx89.npy,12036,12050,14,1203.6,1205.0,1.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,152,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2979_idx243.npy,12050,12095,45,1205.0,1209.5,4.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,153,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1148_idx184.npy,12095,12103,8,1209.5,1210.3,0.8,False
