index,snippet_path,label,source_filepath,onset_s,offset_s,duration_s,n_frames,_manifest_dir,split
36,data\results\fragments_combined\fragments_32khz\G01\279C0268_idx36.npy,G01,G:\F2\F2a_20250203\279C0268.WAV,1577.616,1632.506,54.8900000000001,549,data\results\fragments_combined\fragments_32khz,test
37,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx37.npy,G01,G:\F2\F2a_20250211\279C0439.WAV,13.824,21.868,8.043999999999999,81,data\results\fragments_combined\fragments_32khz,train
38,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx38.npy,G01,G:\F2\F2a_20250211\279C0439.WAV,572.329,579.214,6.885000000000105,69,data\results\fragments_combined\fragments_32khz,train
39,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx39.npy,G01,G:\F2\F2a_20250211\279C0439.WAV,652.382,661.2,8.818000000000097,89,data\results\fragments_combined\fragments_32khz,train
40,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx40.npy,G01,G:\F2\F2a_20250211\279C0439.WAV,1139.421,1146.193,6.771999999999935,68,data\results\fragments_combined\fragments_32khz,val
41,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx41.npy,G01,G:\F2\F2a_20250211\279C0439.WAV,1255.129,1256.219,1.0900000000001455,11,data\results\fragments_combined\fragments_32khz,test
42,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx42.npy,G01,G:\F2\F2a_20250211\279C0439.WAV,1301.641,1302.156,0.5149999999998727,6,data\results\fragments_combined\fragments_32khz,val
43,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx43.npy,G01,G:\F2\F2a_20250211\279C0439.WAV,1534.91,1535.736,0.8260000000000218,9,data\results\fragments_combined\fragments_32khz,val
44,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx44.npy,G01,G:\F2\F2a_20250211\279C0439.WAV,1605.16,1606.337,1.1769999999999072,12,data\results\fragments_combined\fragments_32khz,val
45,data\results\fragments_combined\fragments_32khz\G01\279C0440_idx45.npy,G01,G:\F2\F2a_20250211\279C0440.WAV,187.871,194.004,6.132999999999981,62,data\results\fragments_combined\fragments_32khz,train
46,data\results\fragments_combined\fragments_32khz\G01\279C0440_idx46.npy,G01,G:\F2\F2a_20250211\279C0440.WAV,1791.506,1799.463,7.95699999999988,80,data\results\fragments_combined\fragments_32khz,train
47,data\results\fragments_combined\fragments_32khz\G01\279C0441_idx47.npy,G01,G:\F2\F2a_20250211\279C0441.WAV,110.371,110.851,0.480000000000004,5,data\results\fragments_combined\fragments_32khz,test
48,data\results\fragments_combined\fragments_32khz\G01\279C0443_idx48.npy,G01,G:\F2\F2a_20250211\279C0443.WAV,1315.664,1316.404,0.7400000000000091,8,data\results\fragments_combined\fragments_32khz,train
49,data\results\fragments_combined\fragments_32khz\G01\279C0443_idx49.npy,G01,G:\F2\F2a_20250211\279C0443.WAV,1392.162,1392.72,0.5579999999999927,6,data\results\fragments_combined\fragments_32khz,test
50,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx50.npy,G01,G:\F2\F2a_20250211\279C0444.WAV,106.308,106.962,0.6539999999999964,7,data\results\fragments_combined\fragments_32khz,train
51,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx51.npy,G01,G:\F2\F2a_20250211\279C0444.WAV,295.94,296.262,0.3220000000000027,4,data\results\fragments_combined\fragments_32khz,train
52,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx52.npy,G01,G:\F2\F2a_20250211\279C0444.WAV,312.86,314.158,1.2980000000000018,13,data\results\fragments_combined\fragments_32khz,train
53,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx53.npy,G01,G:\F2\F2a_20250211\279C0444.WAV,337.791,339.168,1.3770000000000095,14,data\results\fragments_combined\fragments_32khz,val
54,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx54.npy,G01,G:\F2\F2a_20250211\279C0444.WAV,1084.263,1084.847,0.58400000000006,6,data\results\fragments_combined\fragments_32khz,train
55,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx55.npy,G01,G:\F2\F2a_20250211\279C0444.WAV,1244.705,1245.332,0.6270000000001801,7,data\results\fragments_combined\fragments_32khz,train
56,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx56.npy,G01,G:\F2\F2a_20250211\279C0445.WAV,925.313,927.483,2.169999999999959,22,data\results\fragments_combined\fragments_32khz,train
57,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx57.npy,G01,G:\F2\F2a_20250211\279C0445.WAV,969.333,973.124,3.7910000000000537,38,data\results\fragments_combined\fragments_32khz,val
58,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx58.npy,G01,G:\F2\F2a_20250211\279C0445.WAV,1111.5,1111.901,0.4010000000000673,5,data\results\fragments_combined\fragments_32khz,val
59,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx59.npy,G01,G:\F2\F2a_20250211\279C0445.WAV,1123.348,1123.914,0.5660000000000309,6,data\results\fragments_combined\fragments_32khz,train
60,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx60.npy,G01,G:\F2\F2a_20250211\279C0445.WAV,1188.312,1189.768,1.456000000000131,15,data\results\fragments_combined\fragments_32khz,val
61,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx61.npy,G01,G:\F2\F2a_20250211\279C0445.WAV,1227.418,1227.802,0.3840000000000145,4,data\results\fragments_combined\fragments_32khz,val
62,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx62.npy,G01,G:\F2\F2a_20250211\279C0445.WAV,1251.665,1253.329,1.6639999999999873,17,data\results\fragments_combined\fragments_32khz,train
63,data\results\fragments_combined\fragments_32khz\G01\279C0445_idx63.npy,G01,G:\F2\F2a_20250211\279C0445.WAV,1286.385,1287.422,1.0370000000000346,11,data\results\fragments_combined\fragments_32khz,val
64,data\results\fragments_combined\fragments_32khz\G01\279C0446_idx64.npy,G01,G:\F2\F2a_20250211\279C0446.WAV,294.242,303.143,8.900999999999954,90,data\results\fragments_combined\fragments_32khz,test
65,data\results\fragments_combined\fragments_32khz\G01\279C0446_idx65.npy,G01,G:\F2\F2a_20250211\279C0446.WAV,872.601,873.377,0.7759999999999536,8,data\results\fragments_combined\fragments_32khz,train
66,data\results\fragments_combined\fragments_32khz\G01\279C0446_idx66.npy,G01,G:\F2\F2a_20250211\279C0446.WAV,1190.127,1196.376,6.249000000000024,63,data\results\fragments_combined\fragments_32khz,train
67,data\results\fragments_combined\fragments_32khz\G01\279C0450_idx67.npy,G01,G:\F2\F2a_20250211\279C0450.WAV,420.451,453.835,33.38399999999996,334,data\results\fragments_combined\fragments_32khz,train
68,data\results\fragments_combined\fragments_32khz\G01\279C0450_idx68.npy,G01,G:\F2\F2a_20250211\279C0450.WAV,1648.956,1649.287,0.3310000000001309,4,data\results\fragments_combined\fragments_32khz,train
69,data\results\fragments_combined\fragments_32khz\G01\279C0454_idx69.npy,G01,G:\F2\F2a_20250211\279C0454.WAV,97.892,102.13,4.238,43,data\results\fragments_combined\fragments_32khz,val
70,data\results\fragments_combined\fragments_32khz\G01\279C0461_idx70.npy,G01,G:\F2\F2a_20250211\279C0461.WAV,28.519,54.791,26.272,263,data\results\fragments_combined\fragments_32khz,train
71,data\results\fragments_combined\fragments_32khz\G01\279C0461_idx71.npy,G01,G:\F2\F2a_20250211\279C0461.WAV,164.574,169.001,4.4269999999999925,45,data\results\fragments_combined\fragments_32khz,train
72,data\results\fragments_combined\fragments_32khz\G01\279C0760_idx72.npy,G01,G:\F1\F1_20240518\279C0760.WAV,1497.718,1498.081,0.362999999999829,4,data\results\fragments_combined\fragments_32khz,train
73,data\results\fragments_combined\fragments_32khz\G01\279C0768_idx73.npy,G01,G:\F1\F1_20240518\279C0768.WAV,244.112,270.161,26.049000000000007,261,data\results\fragments_combined\fragments_32khz,train
74,data\results\fragments_combined\fragments_32khz\G01\279C0768_idx74.npy,G01,G:\F1\F1_20240518\279C0768.WAV,279.949,280.711,0.7620000000000005,8,data\results\fragments_combined\fragments_32khz,train
75,data\results\fragments_combined\fragments_32khz\G01\279C0770_idx75.npy,G01,G:\F1\F1_20240518\279C0770.WAV,654.641,656.311,1.6700000000000728,17,data\results\fragments_combined\fragments_32khz,train
76,data\results\fragments_combined\fragments_32khz\G01\279C1506_idx76.npy,G01,G:\F1\F1_20240618\279C1506.WAV,1313.483,1349.031,35.548,356,data\results\fragments_combined\fragments_32khz,val
77,data\results\fragments_combined\fragments_32khz\G01\279C1863_idx77.npy,G01,G:\F1\F1_20240703\279C1863.WAV,1524.721,1541.861,17.1400000000001,172,data\results\fragments_combined\fragments_32khz,val
78,data\results\fragments_combined\fragments_32khz\G01\279C1863_idx78.npy,G01,G:\F1\F1_20240703\279C1863.WAV,1597.819,1599.026,1.207000000000107,13,data\results\fragments_combined\fragments_32khz,train
79,data\results\fragments_combined\fragments_32khz\G01\279C1864_idx79.npy,G01,G:\F1\F1_20240703\279C1864.WAV,679.876,710.16,30.283999999999992,303,data\results\fragments_combined\fragments_32khz,train
80,data\results\fragments_combined\fragments_32khz\G01\279C1867_idx80.npy,G01,G:\F1\F1_20240703\279C1867.WAV,0.233,12.233,12.0,121,data\results\fragments_combined\fragments_32khz,train
81,data\results\fragments_combined\fragments_32khz\G01\279C1867_idx81.npy,G01,G:\F1\F1_20240703\279C1867.WAV,30.504,54.901,24.397,244,data\results\fragments_combined\fragments_32khz,train
82,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx82.npy,G01,G:\F1\F1_20240703\279C1870.WAV,1095.581,1097.424,1.8430000000000744,19,data\results\fragments_combined\fragments_32khz,train
83,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx83.npy,G01,G:\F1\F1_20240703\279C1870.WAV,1457.958,1468.221,10.26299999999992,103,data\results\fragments_combined\fragments_32khz,train
84,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx84.npy,G01,G:\F1\F1_20240703\279C1870.WAV,1491.11,1492.445,1.3350000000000364,14,data\results\fragments_combined\fragments_32khz,train
85,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx85.npy,G01,G:\F1\F1_20240703\279C1870.WAV,1645.56,1646.449,0.8890000000001237,9,data\results\fragments_combined\fragments_32khz,train
86,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx86.npy,G01,G:\F1\F1_20240703\279C1870.WAV,1739.259,1740.191,0.9320000000000164,10,data\results\fragments_combined\fragments_32khz,train
87,data\results\fragments_combined\fragments_32khz\G01\279C1871_idx87.npy,G01,G:\F1\F1_20240703\279C1871.WAV,264.051,265.068,1.016999999999996,11,data\results\fragments_combined\fragments_32khz,train
88,data\results\fragments_combined\fragments_32khz\G01\279C1871_idx88.npy,G01,G:\F1\F1_20240703\279C1871.WAV,799.645,846.39,46.745000000000005,468,data\results\fragments_combined\fragments_32khz,train
89,data\results\fragments_combined\fragments_32khz\G01\279C1871_idx89.npy,G01,G:\F1\F1_20240703\279C1871.WAV,1501.719,1503.096,1.3769999999999527,14,data\results\fragments_combined\fragments_32khz,train
90,data\results\fragments_combined\fragments_32khz\G01\279C1871_idx90.npy,G01,G:\F1\F1_20240703\279C1871.WAV,1540.837,1548.952,8.115000000000009,82,data\results\fragments_combined\fragments_32khz,train
91,data\results\fragments_combined\fragments_32khz\G01\279C1878_idx91.npy,G01,G:\F1\F1_20240703\279C1878.WAV,1131.246,1132.951,1.7049999999999272,18,data\results\fragments_combined\fragments_32khz,train
92,data\results\fragments_combined\fragments_32khz\G01\279C2223_idx92.npy,G01,G:\F1\F1_20240718\279C2223.WAV,24.836,25.443,0.6070000000000029,7,data\results\fragments_combined\fragments_32khz,train
93,data\results\fragments_combined\fragments_32khz\G01\279C2223_idx93.npy,G01,G:\F1\F1_20240718\279C2223.WAV,1546.229,1550.68,4.451000000000022,45,data\results\fragments_combined\fragments_32khz,train
94,data\results\fragments_combined\fragments_32khz\G01\279C2223_idx94.npy,G01,G:\F1\F1_20240718\279C2223.WAV,1615.145,1620.342,5.197000000000116,52,data\results\fragments_combined\fragments_32khz,train
95,data\results\fragments_combined\fragments_32khz\G01\279C2224_idx95.npy,G01,G:\F1\F1_20240718\279C2224.WAV,1583.79,1585.119,1.3289999999999509,14,data\results\fragments_combined\fragments_32khz,train
96,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx96.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1447.11,1453.987,6.87700000000018,69,data\results\fragments_combined\fragments_32khz,train
97,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx97.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1484.972,1501.606,16.634000000000015,167,data\results\fragments_combined\fragments_32khz,test
98,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx98.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1549.348,1552.492,3.144000000000005,32,data\results\fragments_combined\fragments_32khz,train
99,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx99.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1592.264,1593.305,1.0410000000001671,11,data\results\fragments_combined\fragments_32khz,train
100,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx100.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1681.409,1695.484,14.074999999999818,141,data\results\fragments_combined\fragments_32khz,train
101,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx101.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1704.299,1705.021,0.72199999999998,8,data\results\fragments_combined\fragments_32khz,train
102,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx102.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1709.36,1711.99,2.630000000000109,27,data\results\fragments_combined\fragments_32khz,test
103,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx103.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1728.897,1762.108,33.21100000000001,333,data\results\fragments_combined\fragments_32khz,train
104,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx104.npy,G01,G:\F1\F1_20240718\279C2227.WAV,1783.932,1787.227,3.2950000000000728,33,data\results\fragments_combined\fragments_32khz,train
105,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx105.npy,G01,G:\F1\F1_20240718\279C2228.WAV,140.108,142.045,1.9369999999999836,20,data\results\fragments_combined\fragments_32khz,val
106,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx106.npy,G01,G:\F1\F1_20240718\279C2228.WAV,254.513,256.165,1.6520000000000152,17,data\results\fragments_combined\fragments_32khz,train
107,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx107.npy,G01,G:\F1\F1_20240718\279C2228.WAV,430.31,432.42,2.1100000000000136,22,data\results\fragments_combined\fragments_32khz,train
108,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx108.npy,G01,G:\F1\F1_20240718\279C2228.WAV,449.646,451.594,1.947999999999979,20,data\results\fragments_combined\fragments_32khz,train
109,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx109.npy,G01,G:\F1\F1_20240718\279C2228.WAV,588.824,589.834,1.009999999999991,11,data\results\fragments_combined\fragments_32khz,val
110,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx110.npy,G01,G:\F1\F1_20240718\279C2228.WAV,649.088,651.779,2.691000000000031,27,data\results\fragments_combined\fragments_32khz,test
111,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx111.npy,G01,G:\F1\F1_20240718\279C2228.WAV,710.311,726.322,16.010999999999967,161,data\results\fragments_combined\fragments_32khz,train
112,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx112.npy,G01,G:\F1\F1_20240718\279C2228.WAV,740.602,742.712,2.1100000000000136,22,data\results\fragments_combined\fragments_32khz,train
113,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx113.npy,G01,G:\F1\F1_20240718\279C2228.WAV,777.773,778.987,1.2139999999999418,13,data\results\fragments_combined\fragments_32khz,test
114,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx114.npy,G01,G:\F1\F1_20240718\279C2228.WAV,934.29,935.273,0.9830000000000608,10,data\results\fragments_combined\fragments_32khz,train
115,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx115.npy,G01,G:\F1\F1_20240718\279C2228.WAV,941.663,967.302,25.63900000000001,257,data\results\fragments_combined\fragments_32khz,train
116,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx116.npy,G01,G:\F1\F1_20240718\279C2230.WAV,133.109,138.629,5.519999999999982,56,data\results\fragments_combined\fragments_32khz,train
117,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx117.npy,G01,G:\F1\F1_20240718\279C2230.WAV,173.95,186.814,12.864000000000004,129,data\results\fragments_combined\fragments_32khz,train
118,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx118.npy,G01,G:\F1\F1_20240718\279C2230.WAV,237.568,242.106,4.537999999999983,46,data\results\fragments_combined\fragments_32khz,train
119,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx119.npy,G01,G:\F1\F1_20240718\279C2230.WAV,265.952,268.64,2.687999999999988,27,data\results\fragments_combined\fragments_32khz,train
120,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx120.npy,G01,G:\F1\F1_20240718\279C2230.WAV,536.733,552.426,15.693000000000096,157,data\results\fragments_combined\fragments_32khz,train
121,data\results\fragments_combined\fragments_32khz\G01\279C2241_idx121.npy,G01,G:\F1\F1_20240718\279C2241.WAV,991.278,993.359,2.0810000000000173,21,data\results\fragments_combined\fragments_32khz,train
122,data\results\fragments_combined\fragments_32khz\G01\279C2241_idx122.npy,G01,G:\F1\F1_20240718\279C2241.WAV,1146.957,1154.356,7.398999999999887,74,data\results\fragments_combined\fragments_32khz,val
123,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx123.npy,G01,G:\F1\F1_20240803\279C2624.WAV,299.919,334.315,34.396000000000015,344,data\results\fragments_combined\fragments_32khz,train
124,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx124.npy,G01,G:\F1\F1_20240803\279C2624.WAV,523.692,549.199,25.506999999999948,256,data\results\fragments_combined\fragments_32khz,train
125,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx125.npy,G01,G:\F1\F1_20240803\279C2624.WAV,586.58,602.16,15.579999999999927,156,data\results\fragments_combined\fragments_32khz,train
126,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx126.npy,G01,G:\F1\F1_20240803\279C2624.WAV,623.242,632.373,9.131000000000084,92,data\results\fragments_combined\fragments_32khz,train
127,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx127.npy,G01,G:\F1\F1_20240803\279C2624.WAV,813.59,814.822,1.231999999999971,13,data\results\fragments_combined\fragments_32khz,train
128,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx128.npy,G01,G:\F1\F1_20240803\279C2624.WAV,967.233,978.416,11.183000000000106,112,data\results\fragments_combined\fragments_32khz,train
129,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx129.npy,G01,G:\F1\F1_20240803\279C2624.WAV,993.87,1016.37,22.5,226,data\results\fragments_combined\fragments_32khz,val
130,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx130.npy,G01,G:\F1\F1_20240818\279C2978.WAV,543.527,544.743,1.2160000000000082,13,data\results\fragments_combined\fragments_32khz,train
131,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx131.npy,G01,G:\F1\F1_20240818\279C2978.WAV,546.524,549.333,2.808999999999969,29,data\results\fragments_combined\fragments_32khz,train
132,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx132.npy,G01,G:\F1\F1_20240818\279C2978.WAV,551.797,552.698,0.9009999999999536,10,data\results\fragments_combined\fragments_32khz,train
133,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx133.npy,G01,G:\F1\F1_20240818\279C2978.WAV,571.398,572.614,1.2160000000000082,13,data\results\fragments_combined\fragments_32khz,train
134,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx134.npy,G01,G:\F1\F1_20240818\279C2978.WAV,574.6,575.318,0.7179999999999609,8,data\results\fragments_combined\fragments_32khz,train
135,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx135.npy,G01,G:\F1\F1_20240818\279C2978.WAV,577.2,577.9,0.6999999999999318,8,data\results\fragments_combined\fragments_32khz,train
